Position,Aspect,Descriptor,AspectCount,WordnetNode,SentimentCompound,SentimentBinary,AdCluster,CommentId,Topic,TopicImportance,TopicSentimentCompound,TopicSentimentBinary,TopicCount
15,restaurant,Chinese,2,restaurant.n.01,0.0,0.0,Chinese,733,restaurant.n.01,0.014220020400260483,0.24695,0.5,2
39,establishment,Edinburgh,1,establishment.n.04,0.0,0.0,Edinburgh,732,establishment.n.04,0.007110010200130241,0.0,0.0,1
9,place,Favorite,2,home.n.01,0.4588,1.0,Favorite,325,home.n.01,0.021330030600390723,0.15293333333333334,0.3333333333333333,3
5,quality,High,1,quality.n.02,0.0,0.0,High,634,quality.n.02,0.007110010200130241,0.0,0.0,1
55,dude,Japanese,3,dandy.n.01,0.0,0.0,Japanese,879,dandy.n.01,0.021330030600390723,0.10606666666666666,0.3333333333333333,3
5,night,Last,1,night.n.01,0.0,0.0,Last,547,night.n.01,0.007110010200130241,0.0,0.0,1
15,restaurant,Nicest,2,restaurant.n.01,0.4939,1.0,Nicest,733,restaurant.n.01,0.014220020400260483,0.24695,0.5,2
11,food,Phenomenal,5,food.n.01,0.0,0.0,Phenomenal,128,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
17,service,Phenomenal,4,service.n.04,0.0,0.0,Phenomenal,128,service.n.04,0.028440040800520965,-0.156225,-0.25,4
6,food,Worst,5,food.n.01,-0.6249,-1.0,Worst,860,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
11,service,Worst,4,service.n.04,-0.6249,-1.0,Worst,860,service.n.04,0.028440040800520965,-0.156225,-0.25,4
18,sushi,worst,2,sushi.n.01,-0.6249,-1.0,Worst,872,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
55,dude,authentic,3,dandy.n.01,0.0,0.0,authentic,879,dandy.n.01,0.021330030600390723,0.10606666666666666,0.3333333333333333,3
127,amount,better,2,sum.n.01,0.4404,1.0,better,986,sum.n.01,0.014220020400260483,0.2202,0.5,2
127,amount,more,2,sum.n.01,0.0,0.0,better,986,sum.n.01,0.014220020400260483,0.2202,0.5,2
55,dude,cool,3,dandy.n.01,0.3182,1.0,cool,879,dandy.n.01,0.021330030600390723,0.10606666666666666,0.3333333333333333,3
77,treat,enthusiastic,3,dainty.n.01,0.4939,1.0,enthusiastic,356,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
78,pasta,excellent,1,pasta.n.01,0.5719,1.0,excellent,158,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
31,bars,few,1,barroom.n.01,0.0,0.0,few,262,barroom.n.01,0.014220020400260483,0.0,0.0,2
19,taste,first,1,taste.n.05,0.0,0.0,first,405,taste.n.05,0.007110010200130241,0.0,0.0,1
25,fish,fresh,1,fish.n.02,0.3182,1.0,fresh,296,fish.n.02,0.007110010200130241,0.3182,1.0,1
10,side,up,2,side.n.07,0.0,0.0,good,100,side.n.07,0.014220020400260483,0.2202,0.5,2
12,side,good,2,side.n.07,0.4404,1.0,good,356,side.n.07,0.014220020400260483,0.2202,0.5,2
70,class,high,1,class.n.08,0.0,0.0,high,870,class.n.08,0.007110010200130241,0.0,0.0,1
76,class dining,high,1,class.n.07,0.0,0.0,high,870,class.n.07,0.007110010200130241,0.0,0.0,1
76,dining,high,1,dining.n.01,0.0,0.0,high,870,dining.n.01,0.007110010200130241,0.0,0.0,1
91,service,high,4,service.n.04,0.0,0.0,high,870,service.n.04,0.028440040800520965,-0.156225,-0.25,4
71,bit,little,1,spot.n.10,0.0,0.0,little,984,spot.n.10,0.007110010200130241,0.0,0.0,1
9,music,live,1,music.n.01,0.0,0.0,live,197,music.n.01,0.007110010200130241,0.0,0.0,1
24,piece,long,1,piece.n.06,0.0,0.0,long,881,piece.n.06,0.007110010200130241,0.0,0.0,1
42,patron,loyal,1,patron.n.01,0.4767,1.0,loyal,899,patron.n.01,0.007110010200130241,0.4767,1.0,1
65,chips,many,1,french_fries.n.01,0.0,0.0,many,303,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
53,course,more,1,course.n.07,0.0,0.0,many,870,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
68,employees,many,2,employee.n.01,0.0,0.0,many,911,employee.n.01,0.014220020400260483,0.0,0.0,2
38,place,other,2,home.n.01,0.0,0.0,many,248,home.n.01,0.021330030600390723,0.15293333333333334,0.3333333333333333,3
21,places,many,1,home.n.01,0.0,0.0,many,329,home.n.01,0.021330030600390723,0.15293333333333334,0.3333333333333333,3
32,sushi,other,2,sushi.n.01,0.0,0.0,many,248,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
20,times,many,1,time.n.05,0.0,0.0,many,491,time.n.05,0.042660061200781446,0.0,0.0,6
33,food,mediocre,5,food.n.01,0.0,0.0,mediocre,932,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
61,service,mediocre,4,service.n.04,0.0,0.0,mediocre,932,service.n.04,0.028440040800520965,-0.156225,-0.25,4
45,college cooking,more,1,cooking.n.01,0.0,0.0,more,870,cooking.n.01,0.014220020400260483,0.0,0.0,2
45,cooking,more,1,cooking.n.01,0.0,0.0,more,870,cooking.n.01,0.014220020400260483,0.0,0.0,2
53,cooking course,more,1,course.n.01,0.0,0.0,more,870,course.n.01,0.007110010200130241,0.0,0.0,1
124,tip,more,1,point.n.08,0.0,0.0,more,727,point.n.08,0.007110010200130241,0.0,0.0,1
27,door,next,1,door.n.01,0.0,0.0,next,360,door.n.01,0.007110010200130241,0.0,0.0,1
18,trip,next,2,trip.n.01,0.0,0.0,next,109,trip.n.01,0.014220020400260483,0.0,0.0,2
79,trip,next,2,trip.n.01,0.0,0.0,next,357,trip.n.01,0.014220020400260483,0.0,0.0,2
9,thing,nice,1,thing.n.11,0.4215,1.0,nice,727,thing.n.11,0.007110010200130241,0.4215,1.0,1
44,grease,old,1,grease.n.01,0.0,0.0,old,82,grease.n.01,0.014220020400260483,0.0,0.0,3
51,grease trap,old,1,grease.n.01,0.0,0.0,old,82,grease.n.01,0.014220020400260483,0.0,0.0,3
51,trap,old,1,trap.n.01,0.0,0.0,old,82,trap.n.01,0.007110010200130241,0.0,0.0,1
9,downside,only,1,downside.n.01,0.0,0.0,only,321,downside.n.01,0.007110010200130241,0.0,0.0,1
15,reviewer,other,1,reviewer.n.01,0.0,0.0,other,245,reviewer.n.01,0.007110010200130241,0.0,0.0,1
38,sushi place,other,1,plaza.n.01,0.0,0.0,other,248,plaza.n.01,0.007110010200130241,0.0,0.0,1
77,treat,pleasant,3,dainty.n.01,0.5106,1.0,pleasant,356,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
